"filename", "language", "C#", "Properties", "JSON", "UnityShader", "comment", "blank", "total"
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Card\CardEffectManager.cs", "C#", 41, 0, 0, 0, 1, 4, 46
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Card\DamageText.cs", "C#", 57, 0, 0, 0, 11, 13, 81
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\CharacterMovements.cs", "C#", 128, 0, 0, 0, 1, 11, 140
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\CharacterSkillController.cs", "C#", 46, 0, 0, 0, 0, 6, 52
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\Magician\Sernia.cs", "C#", 69, 0, 0, 0, 0, 6, 75
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\Mechanician\Asra.cs", "C#", 69, 0, 0, 0, 0, 6, 75
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\Monster\Magki.cs", "C#", 70, 0, 0, 0, 0, 7, 77
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\SkillSet.cs", "C#", 11, 0, 0, 0, 0, 3, 14
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\ColorAdapter.cs", "C#", 24, 0, 0, 0, 0, 12, 36
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\DialogueController.cs", "C#", 111, 0, 0, 0, 0, 16, 127
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\BadgeEntity.cs", "C#", 12, 0, 0, 0, 0, 1, 13
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\BuffEntity.cs", "C#", 75, 0, 0, 0, 0, 11, 86
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\CardBattleEntity.cs", "C#", 27, 0, 0, 0, 0, 3, 30
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\CardDataContainer.cs", "C#", 7, 0, 0, 0, 0, 2, 9
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\CardEntity.cs", "C#", 237, 0, 0, 0, 0, 39, 276
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\CardExpertiseEntity.cs", "C#", 51, 0, 0, 0, 1, 8, 60
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\DamageEntity.cs", "C#", 37, 0, 0, 0, 6, 8, 51
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\DebuffEntity.cs", "C#", 83, 0, 0, 0, 0, 14, 97
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\ExpertiseEntity.cs", "C#", 12, 0, 0, 0, 0, 2, 14
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\PlanetEntity.cs", "C#", 16, 0, 0, 0, 0, 3, 19
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\PlanetItem.cs", "C#", 52, 0, 0, 0, 2, 12, 66
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\SpellEntity.cs", "C#", 25, 0, 0, 0, 0, 1, 26
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\HintTextController.cs", "C#", 50, 0, 0, 0, 0, 8, 58
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\InputManager.cs", "C#", 25, 0, 0, 0, 2, 4, 31
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\InventoryManager.cs", "C#", 108, 0, 0, 0, 8, 14, 130
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Item.cs", "C#", 48, 0, 0, 0, 2, 4, 54
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\ItemManager.cs", "C#", 72, 0, 0, 0, 6, 10, 88
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\ItemSlot.cs", "C#", 26, 0, 0, 0, 11, 3, 40
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\MainMenu.cs", "C#", 17, 0, 0, 0, 0, 5, 22
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\MainScrollController.cs", "C#", 101, 0, 0, 0, 1, 16, 118
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\PlanetListManager.cs", "C#", 90, 0, 0, 0, 0, 13, 103
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\PlayerStatManager.cs", "C#", 31, 0, 0, 0, 0, 5, 36
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Props\DefaultProperty.cs", "C#", 10, 0, 0, 0, 0, 1, 11
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Props\FloatingObject.cs", "C#", 16, 0, 0, 0, 0, 4, 20
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Props\Status.cs", "C#", 62, 0, 0, 0, 2, 7, 71
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Scene\BackgroundMove.cs", "C#", 17, 0, 0, 0, 2, 3, 22
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Scene\SpeedController.cs", "C#", 35, 0, 0, 0, 11, 8, 54
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\SlimeController.cs", "C#", 45, 0, 0, 0, 0, 5, 50
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\SoundManager.cs", "C#", 66, 0, 0, 0, 0, 9, 75
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\SpellController.cs", "C#", 49, 0, 0, 0, 5, 7, 61
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\SpellSlot.cs", "C#", 44, 0, 0, 0, 2, 5, 51
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\TestCardDamage.cs", "C#", 45, 0, 0, 0, 7, 7, 59
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\TestScript.cs", "C#", 29, 0, 0, 0, 4, 7, 40
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\ColorUtil.cs", "C#", 16, 0, 0, 0, 2, 3, 21
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\Constants.cs", "C#", 9, 0, 0, 0, 0, 3, 12
